,,,
t (s),x (m),y (m),v_{x} (m/s)
4.8333,1.0929,0.0416,0.2410
4.8667,1.1010,0.0414,0.2455
4.9000,1.1092,0.0414,0.2438
4.9333,1.1173,0.0413,0.2407
4.9667,1.1253,0.0413,0.2426
5.0000,1.1334,0.0413,0.2447
5.0333,1.1416,0.0412,0.2398
5.0667,1.1494,0.0412,0.2417
5.1000,1.1577,0.0414,0.2462
5.1333,1.1659,0.0414,0.2426
5.1667,1.1739,0.0413,0.2426
5.2000,1.1820,0.0412,0.2419
5.2333,1.1900,0.0412,0.2410
5.2667,1.1981,0.0412,0.2440
5.3000,1.2063,0.0412,0.2443
5.3333,1.2144,0.0413,0.2402
5.3667,1.2223,0.0411,0.2394
5.4000,1.2303,0.0412,0.2439
5.4333,1.2385,0.0411,0.2444
5.4667,1.2466,0.0412,0.2411
5.5000,1.2546,0.0411,0.2413
5.5333,1.2627,0.0411,0.2421
5.5667,1.2707,0.0410,0.2473
5.6000,1.2792,0.0409,0.2441
5.6333,1.2870,0.0410,0.2383
5.6667,1.2951,0.0409,0.2471
5.7000,1.3035,0.0410,0.2459
5.7333,1.3115,0.0409,0.2407
5.7667,1.3195,0.0409,0.2411
5.8000,1.3276,0.0408,0.2421
5.8333,1.3357,0.0408,0.2452
5.8667,1.3439,0.0410,0.2440
5.9000,1.3519,0.0407,0.2431
5.9333,1.3601,0.0409,0.2440
5.9667,1.3682,0.0408,0.2444
6.0000,1.3764,0.0407,0.2396
6.0333,1.3842,0.0408,0.2438
6.0667,1.3926,0.0406,0.2469
6.1000,1.4006,0.0405,0.2462
6.1333,1.4091,0.0405,0.2446
6.1667,1.4169,0.0405,0.2409
6.2000,1.4251,0.0406,0.2456
6.2333,1.4333,0.0405,0.2469
6.2667,1.4416,0.0407,0.2450
6.3000,1.4496,0.0405,0.2404
6.3333,1.4576,0.0404,0.2448
6.3667,1.4660,0.0404,0.2486
6.4000,1.4742,0.0404,0.2463
6.4333,1.4824,0.0404,0.2451
6.4667,1.4905,0.0404,0.2429
6.5000,1.4986,0.0404,0.2451
6.5333,1.5069,0.0403,0.2481
6.5667,1.5151,0.0405,0.2437
6.6000,1.5231,0.0404,0.2427
6.6333,1.5313,0.0404,0.2479
6.6667,1.5396,0.0404,0.2457
6.7000,1.5477,0.0402,0.2419
6.7333,1.5558,0.0403,0.2467
6.7667,1.5641,0.0403,0.2463
6.8000,1.5722,0.0403,0.2431
6.8333,1.5803,0.0405,0.2500
6.8667,1.5889,0.0403,0.2460
6.9000,1.5967,0.0400,0.2416
6.9333,1.6050,0.0401,0.2515
6.9667,1.6135,0.0400,0.2442
7.0000,1.6212,0.0400,0.2413
7.0333,1.6296,0.0401,0.2470
7.0667,1.6377,0.0399,0.2443
7.1000,1.6459,0.0404,0.2460
7.1333,1.6541,0.0401,0.2450
7.1667,1.6622,0.0400,0.2414
7.2000,1.6702,0.0401,0.2454
7.2333,1.6786,0.0399,0.2460
7.2667,1.6866,0.0400,0.2458
7.3000,1.6949,0.0400,0.2431
7.3333,1.7028,0.0400,0.2405
7.3667,1.7110,0.0402,0.2479
7.4000,1.7193,0.0400,0.2462
7.4333,1.7274,0.0400,0.2422
7.4667,1.7355,0.0400,0.2430
7.5000,1.7436,0.0399,0.2416
7.5333,1.7516,0.0399,0.2435
7.5667,1.7598,0.0398,0.2466
7.6000,1.7680,0.0398,0.2450
7.6333,1.7762,0.0400,0.2423
7.6667,1.7842,0.0399,0.2411
7.7000,1.7922,0.0401,0.2432
7.7333,1.8004,0.0398,0.2441
7.7667,1.8085,0.0399,0.2430
7.8000,1.8166,0.0398,0.2439
7.8333,1.8248,0.0397,0.2446
7.8667,1.8329,0.0397,0.2433
7.9000,1.8410,0.0397,0.2426
7.9333,1.8491,0.0398,0.2412
7.9667,1.8571,0.0396,0.2403
8.0000,1.8651,0.0396,0.2194
8.0333,1.8717,0.0396,0.1043
8.0667,1.8721,0.0400,-0.0727
8.1000,1.8668,0.0398,-0.1838
8.1333,1.8598,0.0396,-0.2174
8.1667,1.8524,0.0396,-0.2172
8.2000,1.8453,0.0395,-0.2123
8.2333,1.8382,0.0395,-0.2141
8.2667,1.8311,0.0396,-0.2160
8.3000,1.8238,0.0396,-0.2199
8.3333,1.8164,0.0396,-0.2179
8.3667,1.8093,0.0395,-0.2053
8.4000,1.8027,0.0396,-0.2299
8.4333,1.7939,0.0396,-0.2289
8.4667,1.7874,0.0397,
